epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.42663633823394775,0.27169251441955566,0.5734252333641052,0.48330000042915344,0.318767786026001,0.516700029373169
1,0.5315545201301575,0.3625246286392212,0.4684455096721649,0.5811370015144348,0.4096641540527344,0.41886308789253235
2,0.6263976693153381,0.45653149485588074,0.3735275864601135,0.6817347407341003,0.5173200964927673,0.3182651102542877
3,0.7049407362937927,0.5447197556495667,0.2950006425380707,0.7375668883323669,0.5850520133972168,0.2624330222606659
4,0.7658652663230896,0.6208298206329346,0.23409055173397064,0.7903966307640076,0.6540674567222595,0.20960348844528198
5,0.8115244507789612,0.6829973459243774,0.18844014406204224,0.821262776851654,0.6980248689651489,0.17873716354370117
6,0.8465716242790222,0.7340872883796692,0.15340234339237213,0.8519467711448669,0.7436995506286621,0.14805325865745544
7,0.8760086894035339,0.7794678807258606,0.1239687129855156,0.8766065239906311,0.7820168733596802,0.12339356541633606
8,0.8978756666183472,0.8147412538528442,0.10210756957530975,0.892174482345581,0.8071050047874451,0.10782544314861298
9,0.9144150018692017,0.8423728942871094,0.08556584268808365,0.9171450734138489,0.8476691246032715,0.08285487443208694
10,0.9272918701171875,0.864477276802063,0.07269763946533203,0.9229739308357239,0.8581531047821045,0.07702595740556717
11,0.9376903772354126,0.8827283978462219,0.062299687415361404,0.9353106617927551,0.8792507648468018,0.06468933820724487
12,0.9462759494781494,0.8980662226676941,0.053711388260126114,0.942081868648529,0.8915926218032837,0.05791821330785751
13,0.9544920325279236,0.9129921197891235,0.04549841582775116,0.9509687423706055,0.9073885679244995,0.04903138428926468
14,0.9620482325553894,0.9269062280654907,0.03794340416789055,0.955173134803772,0.9151612520217896,0.04482720419764519
15,0.967604398727417,0.9372685551643372,0.03239119052886963,0.9656752347946167,0.9340133666992188,0.03432454913854599
16,0.9718213677406311,0.9452129602432251,0.028175385668873787,0.9650469422340393,0.933320164680481,0.03495311364531517
17,0.9750239253044128,0.9512925148010254,0.024973120540380478,0.9749957919120789,0.9513066411018372,0.025004226714372635
18,0.9779448509216309,0.9568668007850647,0.022052541375160217,0.9754524827003479,0.9523996114730835,0.024547290056943893
19,0.9804489016532898,0.9616689085960388,0.01954958215355873,0.9789005517959595,0.9588357210159302,0.021099654957652092
20,0.982507586479187,0.9656367897987366,0.017490509897470474,0.9792512059211731,0.9595760107040405,0.020748630166053772
21,0.9839985966682434,0.9685260057449341,0.01599966175854206,0.9817785024642944,0.9644049406051636,0.01822156086564064
22,0.985495924949646,0.9714271426200867,0.014502525329589844,0.9833846688270569,0.9673941731452942,0.016615381464362144
23,0.9868987202644348,0.9741551876068115,0.01310023944824934,0.9846312403678894,0.969821572303772,0.015368686057627201
24,0.9878965020179749,0.9760997295379639,0.012103033252060413,0.9849128127098083,0.9703596830368042,0.015087167732417583
25,0.9887362122535706,0.9777399897575378,0.011263558641076088,0.9847480654716492,0.9700360894203186,0.01525198295712471
26,0.989475667476654,0.9791874289512634,0.010523652657866478,0.9859079122543335,0.9723588228225708,0.014092312194406986
27,0.9902950525283813,0.980792760848999,0.009704404510557652,0.9866287708282471,0.9737169146537781,0.013371322304010391
28,0.9907951951026917,0.9817736148834229,0.009204419329762459,0.9877887964248657,0.9759528636932373,0.012211086228489876
29,0.9913058876991272,0.9827770590782166,0.008693319745361805,0.9867429733276367,0.9741140604019165,0.013256749138236046
30,0.9918963313102722,0.9839378595352173,0.008102689869701862,0.9888291954994202,0.9779787659645081,0.01117081567645073
31,0.9920855164527893,0.9843116998672485,0.007913646288216114,0.989296555519104,0.9789091944694519,0.010703446343541145
32,0.9925320744514465,0.98518967628479,0.007467147894203663,0.987848162651062,0.976219654083252,0.012151695787906647
33,0.9929717183113098,0.9860530495643616,0.007027693558484316,0.9895001649856567,0.9793401956558228,0.010499858297407627
34,0.9932921528816223,0.9866840839385986,0.006707247346639633,0.9882209300994873,0.9769212603569031,0.0117790000513196
35,0.9934863448143005,0.9870688319206238,0.006512024439871311,0.9842261672019958,0.9696255922317505,0.015773894265294075
36,0.9936922788619995,0.9874743223190308,0.00630679726600647,0.982875406742096,0.9669708609580994,0.017124563455581665
37,0.9938627481460571,0.9878108501434326,0.006136304698884487,0.9887318015098572,0.9778669476509094,0.011268232949078083
38,0.9941245317459106,0.9883268475532532,0.0058742244727909565,0.9892165064811707,0.9788109660148621,0.010783566161990166
39,0.9942796230316162,0.9886327981948853,0.005719753913581371,0.9873203635215759,0.9752209186553955,0.012679705396294594
40,0.9943655133247375,0.9888038039207458,0.005633086431771517,0.9887122511863708,0.9778569936752319,0.01128769014030695
41,0.9943429827690125,0.98875892162323,0.005655865650624037,0.9882737398147583,0.9771279692649841,0.01172617543488741
42,0.9946158528327942,0.98929762840271,0.005383138079196215,0.9864805936813354,0.9737459421157837,0.01351943239569664
43,0.994545042514801,0.9891576766967773,0.005454225465655327,0.9875008463859558,0.9756861329078674,0.012499013915657997
44,0.9946975111961365,0.989459216594696,0.005301740951836109,0.990262508392334,0.9808337688446045,0.009737394750118256
45,0.9948763251304626,0.9898141026496887,0.00512181781232357,0.9900358319282532,0.9803801774978638,0.009964332915842533
46,0.9949922561645508,0.9900422692298889,0.005006454885005951,0.9889611601829529,0.9784643054008484,0.011038817465305328
47,0.9951334595680237,0.9903210997581482,0.004865205846726894,0.9883466362953186,0.9771466851234436,0.011653274297714233
48,0.9950923323631287,0.9902393817901611,0.004906831309199333,0.9873266816139221,0.9752743244171143,0.012673602439463139
49,0.994976818561554,0.9900123476982117,0.005022308323532343,0.9905366897583008,0.9814637303352356,0.00946354866027832
